year,aging_pre2021,builder,model,price,account,account_id
,,Kinetic Cutting Systems,K5000,,Delaware Valley Steel Co,0015Y00002kBzB5QAK
2007,YES,PROMAX,N/A,,Chown's Fabrication & Rigging,0015Y00002kC0ncQAC
2011,YES,PLASMA-PRO,N/A,,MBI HVAC Inc.,0015Y00002kBzAcQAK
2011,YES,FICEP,GEMINI-36-HD,,R/J Florig,0015Y00002kC34IQAS
2011,YES,FICEP,GEMINI-36-HD,,R/J Florig,0015Y00002kC34IQAS
2012,YES,PRAXAIR,PRS-150,,Load Rite Trailers Inc,0015Y00002kC2PDQA0
2013,YES,SHOPSABRE,SHOPMSTRPRO10,,Fabtech Welding and Repair Corp,0015Y00002kBybdQAC
2017,YES,FICEP,GEMINI-32-HPE,,Michelman Steel Enterprises,001Nu00000Hr80wIAB
2018,YES,MESSER,TITAN-III-12,,"Metal Stock, Inc.",0015Y00002kC3fKQAS
2019,YES,SHOPSABRE,SIDEKICK-8,,Active Radiator Supply Co,0015Y00002kC1l2QAC
2019,YES,SHOPSABRE,SIDEKICK-8,,Active Radiator Supply Co,0015Y00002kC1l2QAC
2019,YES,SHOPSABRE,SIDEKICK-8,,Active Radiator Supply Co,0015Y00002kC1l2QAC
2019,YES,SHOPSABRE,SIDEKICK-8,,Active Radiator Supply Co,0015Y00002kC1l2QAC
2019,YES,ACCU-KUT,N/A,,Global Affinity / Global Metalworks,0015Y00002kBy6JQAS
2019,YES,Bend-tech LLC,N/A,,Gottstein Corporation,0015Y00002kBxjDQAS
2019,YES,"Electro-Mechanical Integrators, Inc. (EMI)",TPC-2143-EL,,"Hazleton Iron, LLC",0015Y00002kC4yGQAS
2019,YES,DYNATORCH,XLE-6X12,,K & C Machining,0015Y00002kC2A4QAK
2020,YES,Bend-tech LLC,DRAGON-A-400,,EC Fence & Ironworks,0015Y00002kBxi1QAC
2020,YES,Piranha,N/A,,Goulstone and Roberts Inc,0015Y00002kBxsKQAS
2020,YES,MPM,N/A,,Herman Goldner Co. Inc,0015Y00002kC2l1QAC
2020,YES,FICEP,KR-25-SP,,"Kelly Iron Works, Inc.",0015Y00002kBz52QAC
2021,,AKS,ACCU-KUT,,RC Control Circuits LLC,001Nu00000Hr8XKIAZ
2022,,Bend-tech LLC,DRAGON-A-400,,McGregor Industries Inc.,0015Y00002kByOAQA0
2022,,PEDDINGHAUS,HSFDB-2500/C,,"Penn Steel Fabrication, Inc.",0015Y00002kC1DwQAK
2023,,AKS,ACCU-KUT,,Global Affinity / Global Metalworks,0015Y00002kBy6JQAS
2023,,Bend-tech LLC,DRAGON-A-400,,Northeast Fence & Ironworks,0015Y00002kC1uxQAC
2023,,AKS,ACCU-KUT,,RC Control Circuits LLC,001Nu00000Hr8XKIAZ
